COTHE,AMTHE,SIG5D88,NX,MONTANA LTZ TURBO,26,14,36.330,GIL PNEUS,COXIM  ,,ENVIAR PEÇAS,PEÇA,"Coxim do motor veio errado da enviar peças, aguardando resposta da Karla ",
COTHE,AMTHE,RUS5H17,CE,HB20 COMFORT,26,9,33.400,GIL PNEUS,,,,GUINCHO,Aguardando da entrada de reboque ,
COTHE,AMTHE,SIE6I95,CE,HB20 COMFORT,26,9,21.050,GIL PNEUS,,,,,Sem chave ( deu entrada de reboque ),
COTHE,CMTHE,SJA9A07,FW,ONIX PLUS LTZ 1.0,36,8,16.960,GIL PNEUS,,,,SERVIÇO,"Aprovado 3 pneus, coxim do motor e roda de liga leve com o fornecedor ",
COTHE,AMTHE,SHM3E16,NX,NOVA TORO FREEDOM,26,7,49.621,GIL PNEUS,,,,M.O,Suspensão ( virar ss para o Gil ),
COTHE,AMTHE,OPP3F19,BK,MOBI LIKE 1.0,26,7,8.706,GIL PNEUS,,,,M.O,Farol auxiliar e braço do limpador ,
COTHE,AMTHE,RVG2J45,GC,C4 CACTUS FEEL 1.6,26,6,36.403,GIL PNEUS,,,,M.O,Suspensão dnt  ( alinhado com o Jhonas ),
COTHE,AMTHE,SIC4I97,B,MOBI LIKE 1.0,26,5,27.682,GIL PNEUS,,,,,"Aguardanod envio do orçamento, deu entrada de reboque ",
COTHE,CMTHZ,SIH8E93,GC,PULSE DRIVE 1.3 -,26,5,31.320,GIL PNEUS,,,,,Freio de mão ( recolher shopping ),
COTHE,AMTHE,RVG3G33,B,KWID ZEN 1.0,26,2,47.831,GIL PNEUS,,,,,,
COTHE,AMTHE,SIL1F73,CE,C3 LIVE PACK 1.0 6,36,2,28.485,GIL PNEUS,,,,M.O,"Calota, roda e luz queimada",03.07
COTHE,AMTHE,SJB9J88,LE,COMPASS LONGITUDE,26,1,19.458,GIL PNEUS,,,,P.R,Freios,
COTHE,AMTHE,SHT0I47,GX,CRETA COMFORT 1.0,26,1,45.548,GIL PNEUS,,,,,,
COTHE,CMTHE,SHG5A80,GX,RENEGADE LONGITUDE,36,1,44.343,GIL PNEUS,,,,,Aguardando da entrada de reboque ,
COTHE,CMTHE,QXL8H74,FX,ONIX PLUS LTZ 1.0,26,1,38.240,GIL PNEUS,,,,,,
COURP,CMURP,RUY1D37,GX,RENEGADE LONGITUDE,26,1,43.834,GIL PNEUS,,,,,,
COTHE,AMTHE,SHX9C40,GX,CRETA COMFORT 1.0,24,0,40.993,GIL PNEUS,,,,,,
COTHE,CMTHE,SHZ2A82,GX,DUSTER INTENSE 1.6,36,42,28.775,H M PINTURA - DESATIVAÇÃO,,,COTAÇÃO,PEÇA,"FAROL DIREITO (260105138R - CONJUNTO OPTICO DIANTEIRO - LD ) Falta comprar apenas esse farol, e verificar peças que chegaram ",
